timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537171545259,6,SignUp,200,,Scenario 1 1-258,true,,160,1,1,6,0,0
1537171545293,6,SignUp,200,,Scenario 1 1-259,true,,160,1,1,6,0,1
1537171545326,9,SignUp,200,,Scenario 1 1-260,true,,160,1,1,9,0,2
1537171545359,10,SignUp,200,,Scenario 1 1-261,true,,160,1,1,10,0,2
1537171545393,12,SignUp,200,,Scenario 1 1-262,true,,160,1,1,12,0,2
1537171545426,14,SignUp,200,,Scenario 1 1-263,true,,160,1,1,14,0,3
1537171545460,13,SignUp,200,,Scenario 1 1-264,true,,160,1,1,13,0,2
1537171545494,13,SignUp,200,,Scenario 1 1-265,true,,160,1,1,13,0,2
1537171545526,15,SignUp,200,,Scenario 1 1-266,true,,160,1,1,15,0,3
1537171545560,14,SignUp,200,,Scenario 1 1-267,true,,160,1,1,14,0,2
1537171545594,35,SignUp,200,,Scenario 1 1-268,true,,160,1,1,35,0,6
1537171545643,57,SignUp,200,,Scenario 1 1-269,true,,160,3,3,57,0,3
1537171545693,12,SignUp,200,,Scenario 1 1-271,true,,160,2,2,12,0,0
1537171545659,47,SignUp,200,,Scenario 1 1-270,true,,160,1,1,47,0,5
1537171545727,11,SignUp,200,,Scenario 1 1-272,true,,160,1,1,11,0,1
1537171545761,11,SignUp,200,,Scenario 1 1-273,true,,160,1,1,11,0,2
1537171545794,11,SignUp,200,,Scenario 1 1-274,true,,160,1,1,10,0,2
1537171545827,11,SignUp,200,,Scenario 1 1-275,true,,160,1,1,11,0,2
1537171545860,14,SignUp,200,,Scenario 1 1-276,true,,160,1,1,14,0,2
1537171545894,20,SignUp,200,,Scenario 1 1-277,true,,160,1,1,19,0,2
1537171545927,12,SignUp,200,,Scenario 1 1-278,true,,160,1,1,12,0,2
1537171545960,13,SignUp,200,,Scenario 1 1-279,true,,160,1,1,13,0,2
1537171545994,12,SignUp,200,,Scenario 1 1-280,true,,160,1,1,12,0,2
1537171546026,17,SignUp,200,,Scenario 1 1-281,true,,160,1,1,17,0,2
1537171546060,12,SignUp,200,,Scenario 1 1-282,true,,160,1,1,12,0,2
1537171546094,12,SignUp,200,,Scenario 1 1-283,true,,160,1,1,12,0,2
1537171546127,16,SignUp,200,,Scenario 1 1-284,true,,160,1,1,16,0,3
1537171546160,20,SignUp,200,,Scenario 1 1-285,true,,160,1,1,20,0,2
1537171546194,15,SignUp,200,,Scenario 1 1-286,true,,160,1,1,15,0,3
1537171546228,16,SignUp,200,,Scenario 1 1-287,true,,160,1,1,16,0,3
1537171546259,7,SignUp,200,,Scenario 1 1-288,true,,160,1,1,7,0,1
1537171546293,8,SignUp,200,,Scenario 1 1-289,true,,160,1,1,8,0,2
1537171546326,6,SignUp,200,,Scenario 1 1-290,true,,160,1,1,6,0,0
1537171546359,6,SignUp,200,,Scenario 1 1-291,true,,160,1,1,6,0,1
1537171546393,9,SignUp,200,,Scenario 1 1-292,true,,160,1,1,9,0,1
1537171546426,9,SignUp,200,,Scenario 1 1-293,true,,160,1,1,9,0,2
1537171546460,8,SignUp,200,,Scenario 1 1-294,true,,160,1,1,8,0,1
1537171546506,41,SignUp,200,,Scenario 1 1-295,true,,160,2,2,41,0,2
1537171546528,26,SignUp,200,,Scenario 1 1-296,true,,160,1,1,26,0,1
1537171546560,7,SignUp,200,,Scenario 1 1-297,true,,160,1,1,7,0,1
1537171546593,6,SignUp,200,,Scenario 1 1-298,true,,160,1,1,6,0,1
1537171546626,6,SignUp,200,,Scenario 1 1-299,true,,160,1,1,6,0,1
1537171546659,9,SignUp,200,,Scenario 1 1-300,true,,160,1,1,9,0,1
